C01,010822080628,Piya,I01,SHIRT,20,3-7-2022
C01,010822080628,Piya,I02,CAP,10,3-7-2022
C01,010822080628,Piya,I03,TROUSERS,15,3-7-2022
C01,010822080628,Piya,I04,BAG,30,3-7-2022
C02,010412076532,alina,I06,BAG,20,3-7-2022
C02,010412076532,alina,I07,BOX,40,3-7-2022
C02,010412076532,alina,I08,BUKU,25,3-7-2022
C03,030617052360,yuri,I09,KERTAS A4,16,3-7-2022
C03,030617052360,yuri,I10,LILIN,7,3-7-2022
C04,901013256781,ali,I11,TEMBIKAI,20,3-7-2022
C04,901013256781,ali,I12,MANGGA,18,3-7-2022
C04,901013256781,ali,I13,ORANGE,15,3-7-2022
C04,901013256781,ali,I14,TELUR,10,3-7-2022
C04,901013256781,ali,I15,AYAM,17,3-7-2022
C05,991125074583,meor,I16,DAGING,23,3-7-2022
C05,991125074583,meor,I17,BAYAM,9,3-7-2022
C06,880927035641,bidin,I18,BOLA,14,3-7-2022
C06,880927035641,bidin,I19,RAKET,50,3-7-2022
C06,880927035641,bidin,I20,MEJA,120,3-7-2022
C07,751224569048,sera,I21,KARPET,70,3-7-2022
C07,751224569048,sera,I22,TIKAR,24,3-7-2022
C07,751224569048,sera,I23,PLASTIK,12,3-7-2022
C07,751224569048,sera,I24,KAIN,15,3-7-2022
C07,751224569048,sera,I25,PEMADAM,4,3-7-2022
C08,770222087699,felix,I26,JERSEY,30,3-7-2022
C08,770222087699,felix,I27,SELUAR,35,3-7-2022
C09,956051969852,lili,I28,KASUT,50,3-7-2022
C09,956051969852,lili,I29,STOKIN,10,3-7-2022
C09,956051969852,lili,I30,TUDUNG SARUNG,10,3-7-2022
C09,956051969852,lili,I31,SHAWL,15,3-7-2022
C09,956051969852,lili,I32,BAWAL,10,3-7-2022
C10,021220036751,gopal,I33,BOLA,30,3-7-2022
C10,021220036751,gopal,I34,GAMES,28,3-7-2022
C11,990530776523,fang,I35,COKLAT,16,3-7-2022
C12,010611087050,yaya,I36,BAWANG,12,3-7-2022
C12,010611087050,yaya,I37,SERAI,5,3-7-2022
C13,987654512098,meimei,I38,BISKUT,9,3-7-2022
C13,987654512098,meimei,I39,CAP,11,3-7-2022
C13,987654512098,meimei,I40,BAG,30,3-7-2022
C14,780401503112,rosie,I41,TSHIRT,55,3-7-2022
C14,780401503112,rosie,I42,SELIMUT,34,3-7-2022
C14,780401503112,rosie,I43,CADAR,67,3-7-2022
C14,780401503112,rosie,I44,BUKU,33,3-7-2022
C15,010224385564,maria,I45,KERUSI,70,3-7-2022
C15,010224385564,maria,I46,PAYUNG,29,3-7-2022
C15,010224385564,maria,I47,COLGATE,14,3-7-2022
C15,010224385564,maria,I48,DETTOL,15,3-7-2022
C15,010224385564,maria,I49,SYAMPU,13,3-7-2022
C15,010224385564,maria,I50,PEN,7,3-7-2022
C15,010224385564,maria,I51,ROTI,5,3-7-2022
C16,898712412543,ahmad,I52,BUTTER,10,4-7-2022
C16,898712412543,ahmad,I53,TEPUNG,14,4-7-2022
C16,898712412543,ahmad,I54,JEM BUAH,4,4-7-2022
C16,898712412543,ahmad,I55,BEG KERTAS,5,4-7-2022
C17,750608234510,olivia,I56,PEMBALUT HADIAH,2,4-7-2022
C17,750608234510,olivia,I57,STRAWBERI,17,4-7-2022
C17,750608234510,olivia,I58,MINERAL,7,4-7-2022
C18,031010567932,alice,I59,SNEAKERS,7,4-7-2022
C18,031010567932,alice,I60,KITKAT,6,4-7-2022
C18,031010567932,alice,I61,BREEZE,10,4-7-2022
C18,031010567932,alice,I62,SYRUP,5,4-7-2022
C19,961140978921,haru,I63,POWDER,12,4-7-2022
C19,961140978921,haru,I64,SPICES,14,4-7-2022
C19,961140978921,haru,I65,RAMEN,15,4-7-2022
C19,961140978921,haru,I67,MAGGI,6,4-7-2022
C19,961140978921,haru,I68,TELUR,14,4-7-2022
C20,000113876092,winter,I69,SOYA,4,4-7-2022
C20,000113876092,winter,I70,GRAPES,20,4-7-2022
C20,000113876092,winter,I71,NUTS,23,4-7-2022
C20,000113876092,winter,I72,BURGER,11,4-7-2022
C21,860528639170,milia,I73,DAGING,17,5-7-2022
C21,860528639170,milia,I74,HALIA,8,5-7-2022
C21,860528639170,milia,I75,GARLIC,5,5-7-2022
C22,720970943923,kimm,I76,COFFEE,10,5-7-2022
C22,720970943923,kimm,I77,TEA,7,5-7-2022
C23,751210493025,porsche,I78,MILK,9,5-7-2022
C24,870923965404,lisa,I79,CARROT,6,5-7-2022
C24,870923965404,lisa,I80,LADA,4,5-7-2022
C24,870923965404,lisa,I81,BERAS,35,5-7-2022
C24,870923965404,lisa,I82,BERUS,4,5-7-2022
C24,870923965404,lisa,I83,SIKAT,5,5-7-2022
C24,870923965404,lisa,I84,BALDI,5,5-7-2022
C25,941131759320,jisoo,I85,KASUT,38,5-7-2022
C25,941131759320,jisoo,I86,BUKU,25,5-7-2022
C25,941131759320,jisoo,I87,PEN,12,5-7-2022
C26,010317045789,minho,I88,PENCIL,10,5-7-2022
C26,010317045789,minho,I89,BEKAS,13,5-7-2022
C26,010317045789,minho,I90,SAWI,6,5-7-2022
C27,000820659340,jooah,I91,PLASTIK,8,5-7-2022
C27,000820659340,jooah,I92,STRAW,5,5-7-2022
C27,000820659340,jooah,I93,MANGKUK,16,5-7-2022
C27,000820659340,jooah,I94,PEACH,4,5-7-2022
C27,000820659340,jooah,I95,RAMEN,17,5-7-2022
C28,960412094783,moonjun,I96,KON,8,5-7-2022
C28,960412094783,moonjun,I97,AISKRIM,10,5-7-2022
C29,990317045926,jimin,I98,AYAM,17,5-7-2022
C29,990317045926,jimin,I99,MINYAK,7,5-7-2022
C30,021129056782,jennie,I100,TOMATO,4,5-7-2022
C30,021129056782,jennie,I101,BANANA,5,5-7-2022
